id,default_code,name_template,active,product_tmpl_id/id
2,101010,Art.1º Tabela Geral - Fotocópias,TRUE,2
3,101020,Art.1º Tabela Geral - Concessão documentos,TRUE,3
4,101030,Art.1º Tabela Geral - Certidões diversas,TRUE,4
5,101040,Art nº6 Cap I Tabela Geral-Serviço digitalização,TRUE,5
6,101050,"T.T.O.R.M SECÇÃOII,ARTº 2Nº1 ALINEA a) Cartografia",TRUE,6
7,101060,"T.T.O.R.M SECÇÃOII, ARTº2 Nº1 ALINEA a)Cartografia",TRUE,7
8,101070,"T.T.O.R.M SECÇÃOII,ARTº2Nº2 ALINEA a)Inf.Geográfic",TRUE,8
9,101080,"T.T.O.R.M SECÇÃOII,ARTº 2Nº2 ALINEA a)Ortofotomapa",TRUE,9
10,101090,"T.T.O.R.M SECÇÃOII,ARTº 2Nº2 ALINEAb)Planta Antiga",TRUE,10
11,101100,"T.T.O.R.M.SECÇÃOII,ART.º2Nº2ALINEAc)Imagens",TRUE,11
12,101110,"T.T.O.R.M.SECÇÃOII,ART.º2Nº3ALINEAa)Impressões A4",TRUE,12
13,101120,"T.T.O.R.M.SECÇÃOII,ART.º2Nº3ALINEAb)Impressões A3",TRUE,13
14,101130,"T.T.O.R.M.SECÇÃOII,ART.º2Nº3ALINEAc) Impressões A2",TRUE,14
15,101140,"T.T.O.R.M.SECÇÃOII,ART.º2Nº3ALINEAd) Impressões A1",TRUE,15
16,101150,"T.T.O.R.M.SECÇÃOII,ART.º2Nº3ALINEAe) Impressões A0",TRUE,16
17,101160,"T.T.O.R.M.SECÇÃOII,ART.º2Nº3ALINEAe) Impressões A0",TRUE,17
18,101170,"T.T.O.R.M.SECÇÃOII,ART.º2Nº4ALINEA a) PDM 1/10.000",TRUE,18
19,101180,"T.T.O.R.M.SECÇÃOII,ART.º2Nº4ALINEA a) PDM 1/5.000",TRUE,19
20,101190,"T.T.O.R.M.SECÇÃOII,ART.º2Nº5ALINEA a)Plantas",TRUE,20
21,101200,"T.T.O.R.M.SECÇÃOII,ART.º2Nº5ALINEA b)Regulamento",TRUE,21
22,101210,"T.T.O.R.M.SECÇÃOII,ART.º2 Nº6 Gravação CD",TRUE,22
23,101220,Nº1 Art 3ºTabela Geral-Emissão Período Funciona/to,TRUE,23
24,101230,Nº2 Art.3ºTabela Geral-Alteração horár.Funciona/to,TRUE,24
25,101240,Nº3 Art 3º Tabela Geral - Contratos avulso,TRUE,25
26,101250,Nº 4 Art 3ª Tabela Geral-Intervenões via pública,TRUE,26
27,101260,Nº5 Art 3º Tabela Geral - Enchimento garrafas ar,TRUE,27
28,102010,Nº1 Art 4º Tabela Geral-Averbamento clubes,TRUE,28
29,102020,Nº 2 Art 4º Tabela Geral-Averbamento hipermercados,TRUE,29
30,102030,Nº3 Art 4º Tabela Geral- Averbamento Suprmercados,TRUE,30
31,102040,Nº4 Art 4º Tabela Geral-Averba/to Mercearia?.,TRUE,31
32,102050,"Nº 5 Art 4º Tabela Geral-Averba/to Talho,peixaria",TRUE,32
33,102060,Nº 6 Art 4º tabela Geral-Averbamento Cabeleireiro,TRUE,33
34,102070,Nº 7 Art 4º tabela Geral-Averbamento Aviário/outro,TRUE,34
35,102080,a) Nº 8 Art 4º tabela Geral-  Averba/tos 1ªClasse,TRUE,35
36,102090,b) Nº 8 Art 4º tabela Geral-  Averba/tos 2ªClasse,TRUE,36
37,102100,c) Nº 8 Art 4º tabela Geral-  Averba/tos 3ªClasse,TRUE,37
38,102110,Art 5º Tabela Geral-Transferência Propriedade,TRUE,38
39,102120,Art 6º Tabela Geral-Tarifa Recolha Lixo,TRUE,39
40,102130,Nº9 Art 6º Tabela Geral- Remoção lixo hospitalar,TRUE,40
41,102140,Nº 10 Art 9º Tabela Geral-Aluguer compactador,TRUE,41
42,102150,Nº 11 Art 9º Tabela Geral-Transporte compactador,TRUE,42
43,102160,Nº 12 Art 9º Tabela Geral-Utiliza. Auto-Varredora,TRUE,43
44,102170,a) Nº13 Art.9ºTabela Geral - Remoção Lixo a pedido,TRUE,44
45,102180,b) Nº13 Art.9ºTabela Geral - Remoção Lixo a pedido,TRUE,45
46,102190,c) Nº13 Art.9ºTabela Geral - Remoção Lixo a pedido,TRUE,46
47,102200,c) Nº13 Art.9ºTabela Geral - Remoção Lixo a pedido,TRUE,47
48,102210,Nº14 Art.9ºTabela Geral - Remoção viaturas,TRUE,48
49,102220,Nº15 Art.9ºTabela Geral - Pesagem na Báscula,TRUE,49
50,102230,Art. 9º Tabela Geral-Ligação domiciliaria esgoto,TRUE,50
51,102240,Art. 8º Tabela Geral - Ligação colectores,TRUE,51
52,102241,Art. 8º Tabela Geral - Ligação colectores,TRUE,52
53,102250,Art. 8º Tabela Geral - Ligação colectores,TRUE,53
54,102260,Art 10º Tabela Geral - Tar.Conserv.Utiliz.Esg.Empr,TRUE,54
55,102270,Art 10º Tabela Geral-Tar.Conserv.Utiliz.Esg.Partic,TRUE,55
56,102280,Nº 5 Art. 10º Tabela Geral -Limpeza fossa/colector,TRUE,56
57,102290,Nº 6 Art. 10º Tabela Geral -Descarga de água-ETAR,TRUE,57
58,103010,Nº1 Art 11º Tabela Geral-Inumação em Covais,TRUE,58
59,103011,Nº1 Art 11º Tabela Geral-Inuma,TRUE,59
60,103012,Nº1 Art 11º Tabela Geral-Inuma,TRUE,60
61,103013,Nº1 Art 11º Tabela Geral-Inuma,TRUE,61
62,103020,a) N 2 Art 11º Tabela-Inumação Corpos em capela,TRUE,62
63,103021,nº2 art.11º Tabela-Inumação jazigos,TRUE,63
64,103022,nº2 art.11º Tabela-Inumação jazigos,TRUE,64
65,103023,nº2 art.11º Tabela-Inumação jazigos,TRUE,65
66,103025,b) nº2 art.11º Tabela Geral-Inumação jazigos,TRUE,66
